Object,Type,Date,RA_result (degree),DEC_result (degree),RA_input (degree),DEC_input (degree),Angular Separation (degree),Apparent magnitude R (known),Apparent magnitude G (known),Apparent magnitude B (known),"flux R (measured, W/m^2)","flux G (measured, W/m^2)","flux B (measured, W/m^2)","flux V (measured, W/m^2)",Apparent magnitude R (instrumental),Apparent magnitude G (instrumental),Apparent magnitude B (instrumental),Apparent magnitude V (instrumental),Airmass
2MASS J13412857+4939085,Bader,2024-03-06T20:49:36.285,205.36893916666665,49.65231083333333,205.37991684945206,49.639939597670164,0.01426789661273125,,,,,,37.111796347717956,,,,-3.9237799407776612,,1.697661
2MASX J13405250+4935405,Bader,2024-03-06T20:49:36.285,205.21874291666663,49.59460694444444,205.22142687995563,49.60863690665847,0.014137383175373115,,,,,,8.316402222636412,,,,-2.2998387145295167,,1.697661
2MASX J13410083+4929175,Bader,2024-03-06T20:49:36.285,205.25350041666664,49.488191944444445,205.27073738202552,49.47815906110486,0.01503536011070243,,,,,,12.967379494098253,,,,-2.7821305519606945,,1.697661
2MASX J13415119+4939274,Bader,2024-03-06T20:49:36.285,205.46346291666663,49.657514722222224,205.46052761969878,49.62871592067817,0.028861458541390002,,,,,,91.74158318376664,,,,-4.906415576192574,,1.697661
Gaia DR3 1558384701027155840,Bader,2024-03-06T20:49:36.285,205.1221633333333,49.599985000000004,205.12985403416272,49.60844306930518,0.00981732371474948,,,,,,45.665502741698276,,,,-4.1489706081375,,1.697661
LEDA 2343422,Bader,2024-03-06T20:49:36.285,205.13619249999996,49.45396111111111,205.12202790813456,49.44349358080908,0.013941707677514908,,,,,,83.75070457591394,,,,-4.8074711733660696,,1.697661
NVSS J134023+493053,Bader,2024-03-06T20:49:36.285,205.09838749999997,49.51490555555556,205.12322066592668,49.51749885084665,0.016329743646341325,,,,,,27.968061045874947,,,,-3.6166558972243115,,1.697661
NVSS J134052+493231,Bader,2024-03-06T20:49:36.285,205.2195833333333,49.54222222222222,205.19764648025833,49.51575879073397,0.030050712899061985,,,,,,21.55014384315284,,,,-3.3336254333508144,,1.697661
NVSS J134138+491855,Bader,2024-03-06T20:49:36.285,205.40599166666667,49.31940555555556,205.37583345589704,49.352662210584995,0.03862895084899992,,,,,,298.7171931904502,,,,-6.18815054975479,,1.697661
NVSS J134157+493907,Bader,2024-03-06T20:49:36.285,205.48958333333331,49.651666666666664,205.4801813635416,49.61112611676551,0.040995370142278345,,,,,,88.96695111501495,,,,-4.873071769030157,,1.697661
SDSS J134038.43+492516.4,Bader,2024-03-06T20:49:36.285,205.16015416666664,49.42124166666667,205.1698021954323,49.40650806270286,0.016014953540015486,,,,,,16.966743480637234,,,,-3.073996234535084,,1.697661
SDSS J134041.67+491923.3,Bader,2024-03-06T20:49:36.285,205.17365249999995,49.323147222222225,205.14712163241828,49.35464699866693,0.03593158665837282,,,,,,16.084665801781014,,,,-3.01603010450775,,1.697661
SDSS J134056.73+492919.2,Bader,2024-03-06T20:49:36.285,205.23641666666663,49.488689722222226,205.2224123831963,49.48934836584001,0.009120907535778955,,,,,,21.46785451555091,,,,-3.329471608690055,,1.697661
SDSS J134057.37+492154.7,Bader,2024-03-06T20:49:36.285,205.23904999999996,49.36520277777778,205.26078014133432,49.34062575141294,0.028361829644443254,,,,,,77.06874660925514,,,,-4.717195739974736,,1.697661
SDSS J134058.16+492418.5,Bader,2024-03-06T20:49:36.285,205.24235541666664,49.40516944444445,205.26993573966507,49.42050848416684,0.02360653728961348,,,,,,7.274839791302057,,,,-2.1545585840006716,,1.697661
SDSS J134100.38+492352.7,Bader,2024-03-06T20:49:36.285,205.25157791666663,49.397981944444446,205.2371738843658,49.38467281361393,0.01627979159542435,,,,,,13.96534116812829,,,,-2.862628874551146,,1.697661
SDSS J134111.37+492627.6,Bader,2024-03-06T20:49:36.285,205.2973808333333,49.44103388888889,205.2945206395067,49.43553811741359,0.005801955756249539,,,,,,54.189209407413585,,,,-4.334782037315884,,1.697661
SDSS J134128.52+492438.1,Bader,2024-03-06T20:49:36.285,205.36885916666665,49.410598888888885,205.37542551619387,49.4047455229262,0.007246828238977689,,,,,,25.870376296817184,,,,-3.532006864451072,,1.697661
SDSS J134132.29+492928.0,Bader,2024-03-06T20:49:36.285,205.38456249999996,49.49111388888889,205.40271622053604,49.48572208521527,0.012966844233571199,,,,,,20.652196971047815,,,,-3.287415646234208,,1.697661
SDSS J134137.20+492326.9,Bader,2024-03-06T20:49:36.285,205.40499999999997,49.39082222222222,205.36376813215665,49.36332030509693,0.038431993301629705,,,,,,5.5993945308125035,,,,-1.8703526719158439,,1.697661
SDSS J134144.69+492839.6,Bader,2024-03-06T20:49:36.285,205.43624166666666,49.47768333333334,205.45398910624675,49.452618274549394,0.02759159281731531,,,,,,21.44483863321875,,,,-3.3283069565885426,,1.697661
SDSS J134146.26+492015.1,Bader,2024-03-06T20:49:36.285,205.44277916666664,49.33754444444445,205.44738814973124,49.342719064887035,0.005982898949861153,,,,,,2.765291948355312,,,,-1.1043524727965546,,1.697661
SDSS J134207.45+493136.6,Bader,2024-03-06T20:49:36.285,205.53107749999998,49.526853333333335,205.4888018117758,49.547662539047224,0.034433989615117365,,,,,,24.79297126127325,,,,-3.485821442479195,,1.697661
SDSSCGB 9701.4,Bader,2024-03-06T20:49:36.285,205.4149833333333,49.55384166666666,205.46463829901367,49.5532420867391,0.0322186012793957,,,,,,22.651006569067874,,,,-3.3877187650640335,,1.697661
[SPD2011] 26347,Bader,2024-03-06T20:49:36.285,205.45833333333331,49.361666666666665,205.46424293320905,49.357769605089345,0.005477376217906232,,,,,,3.6292418146803413,,,,-1.3995397650057737,,1.697661
2MASS J13421665+4921143,Bader,2024-03-06T21:36:42.131,205.56930916666664,49.35399638888889,205.5331678713339,49.3731273843515,0.03033146927552324,,,,41.15509816691171,,,,-4.036059104861828,,,,1.478896
2MASX J13405250+4935405,Bader,2024-03-06T21:36:42.131,205.21874291666663,49.59460694444444,205.24382760323863,49.57543181370556,0.025142928378095813,,,,39.76908090762589,,,,-3.998863885601813,,,,1.478896
2MASX J13410083+4929175,Bader,2024-03-06T21:36:42.131,205.25350041666664,49.488191944444445,205.25885426219804,49.48485400864835,0.004820613393687229,,,,26.119419953730485,,,,-3.542408820319686,,,,1.478896
2MASX J13420222+4919364,Bader,2024-03-06T21:36:42.131,205.50910749999997,49.327020000000005,205.50597134904152,49.32698027853205,0.002044344301547643,,,,7.826249664219517,,,,-2.2338842454000813,,,,1.478896
GB6 B1339+4931,Bader,2024-03-06T21:36:42.131,205.25666666666663,49.275277777777774,205.26971547551767,49.303943698439845,0.02990268277605379,,,,24.7407631846651,,,,-3.4835327307324073,,,,1.478896
HD 234063,Bader,2024-03-06T21:36:42.131,205.56694041666665,49.57883861111112,205.55594886695525,49.58289303706062,0.008199227132736719,,,,23.18747647175269,,,,-3.413133715705818,,,,1.478896
NVSS J134052+493231,Bader,2024-03-06T21:36:42.131,205.2195833333333,49.54222222222222,205.23113150751507,49.53991220790881,0.007841610436237172,,,,19.32979737278393,,,,-3.2155682537543813,,,,1.478896
NVSS J134138+491855,Bader,2024-03-06T21:36:42.131,205.40599166666667,49.31940555555556,205.4229627689603,49.31538183254944,0.01177194101150134,,,,5.920851642418683,,,,-1.930960447973484,,,,1.478896
SDSS J134038.43+492516.4,Bader,2024-03-06T21:36:42.131,205.16015416666664,49.42124166666667,205.1840694434205,49.44802983079053,0.030975553397975843,,,,31.28441702151811,,,,-3.738320166008258,,,,1.478896
SDSS J134041.67+491923.3,Bader,2024-03-06T21:36:42.131,205.17365249999995,49.323147222222225,205.1921919437847,49.31500926176744,0.014569497629690136,,,,8.511286961016012,,,,-2.3249880828816822,,,,1.478896
SDSS J134056.73+492919.2,Bader,2024-03-06T21:36:42.131,205.23641666666663,49.488689722222226,205.22201356728874,49.48702112527834,0.009504008365903888,,,,32.653400218424025,,,,-3.784821028285888,,,,1.478896
SDSS J134057.37+492154.7,Bader,2024-03-06T21:36:42.131,205.23904999999996,49.36520277777778,205.2233321953265,49.373737824973496,0.013326826054536155,,,,63.39314669923601,,,,-4.5051057743737974,,,,1.478896
SDSS J134058.16+492418.5,Bader,2024-03-06T21:36:42.131,205.24235541666664,49.40516944444445,205.2369529434302,49.40809904655883,0.0045760255936954375,,,,29.262337313478454,,,,-3.665772530533168,,,,1.478896
SDSS J134100.38+492352.7,Bader,2024-03-06T21:36:42.131,205.25157791666663,49.397981944444446,205.267265720143,49.391449468413846,0.012121213060688814,,,,9.060346236499527,,,,-2.392861985838835,,,,1.478896
SDSS J134111.37+492627.6,Bader,2024-03-06T21:36:42.131,205.2973808333333,49.44103388888889,205.30535102153678,49.43709829150195,0.006507607087055848,,,,43.719561292344935,,,,-4.1016894883365635,,,,1.478896
SDSS J134117.55+491615.4,Bader,2024-03-06T21:36:42.131,205.32315999999997,49.27096805555556,205.32781319250404,49.29957550591241,0.028768019292831327,,,,12.622572062818222,,,,-2.7528696469521763,,,,1.478896
SDSS J134128.52+492438.1,Bader,2024-03-06T21:36:42.131,205.36885916666665,49.410598888888885,205.391565574729,49.40804139485078,0.014993668197521374,,,,53.69481558797125,,,,-4.324830887888071,,,,1.478896
SDSS J134132.29+492928.0,Bader,2024-03-06T21:36:42.131,205.38456249999996,49.49111388888889,205.37912953239365,49.489692481770916,0.0038046157738192074,,,,0.5168760012499263,,,,0.7165340795570097,,,,1.478896
SDSS J134137.20+492326.9,Bader,2024-03-06T21:36:42.131,205.40499999999997,49.39082222222222,205.41390633250475,49.39660804931412,0.008190124771211437,,,,7.600675326641593,,,,-2.202130453598023,,,,1.478896
SDSS J134144.69+492839.6,Bader,2024-03-06T21:36:42.131,205.43624166666666,49.47768333333334,205.4567268207818,49.477584661596005,0.013310488697636355,,,,9.985336599931642,,,,-2.4984067731742927,,,,1.478896
SDSS J134146.26+492015.1,Bader,2024-03-06T21:36:42.131,205.44277916666664,49.33754444444445,205.43970263809967,49.33647610762234,0.0022715930218852277,,,,10.529197044995101,,,,-2.5559881330387086,,,,1.478896
SDSS J134152.89+492147.3,Bader,2024-03-06T21:36:42.131,205.47039583333333,49.36316388888889,205.51538314294976,49.38162927130992,0.034627331993139034,,,,9.037372855393514,,,,-2.390105500904622,,,,1.478896
SDSS J134158.86+492502.5,Bader,2024-03-06T21:36:42.131,205.49524541666665,49.417382499999995,205.5075517194793,49.41971026245659,0.008337151969058019,,,,42.55496691440224,,,,-4.072375642991945,,,,1.478896
SDSS J134207.45+493136.6,Bader,2024-03-06T21:36:42.131,205.53107749999998,49.526853333333335,205.53888866439289,49.52027533816604,0.008305420693249103,,,,20.255618171752317,,,,-3.266363754380877,,,,1.478896
SDSSCGB 9701.1,Bader,2024-03-06T21:36:42.131,205.41194874999997,49.55240055555555,205.43149479585642,49.52525445145509,0.029963252313351982,,,,6.598975073967466,,,,-2.0486912198070986,,,,1.478896
SDSSCGB 9701.2,Bader,2024-03-06T21:36:42.131,205.4088333333333,49.551941666666664,205.40434850177473,49.55347189170741,0.0032873902111873235,,,,11.108172408463531,,,,-2.6141065293932613,,,,1.478896
SDSSCGB 9701.3,Bader,2024-03-06T21:36:42.131,205.41189999999997,49.55394166666667,205.4114229143894,49.55912845140466,0.0051960096604609365,,,,47.384851763857526,,,,-4.189098815850456,,,,1.478896
SDSSCGB 9701.4,Bader,2024-03-06T21:36:42.131,205.4149833333333,49.55384166666666,205.4584100748714,49.56111547944721,0.029094200379210317,,,,17.28851938903587,,,,-3.094394503325732,,,,1.478896
TYC 3466-548-1,Bader,2024-03-06T21:36:42.131,205.55743291666664,49.59937361111111,205.51508211919284,49.59973716981473,0.02745105214686266,,,,30.623800234270334,,,,-3.7151477077708517,,,,1.478896
[SPD2011] 26347,Bader,2024-03-06T21:36:42.131,205.45833333333331,49.361666666666665,205.44583561526605,49.358004425889376,0.008925751789434052,,,,8.767314325953151,,,,-2.3571664429228183,,,,1.478896
2MASS J13412857+4939085,Bader,2024-03-06T20:51:00.245,205.36893916666665,49.65231083333333,205.38305594997414,49.639896617279135,0.015416401148627046,,,,77.75977727157945,,,,-4.726887519910561,,,,1.690578
2MASX J13405250+4935405,Bader,2024-03-06T20:51:00.245,205.21874291666663,49.59460694444444,205.2505890635296,49.591354488263605,0.020897744677902497,,,,365.9436813354074,,,,-6.4085356317423585,,,,1.690578
2MASX J13410083+4929175,Bader,2024-03-06T20:51:00.245,205.25350041666664,49.488191944444445,205.26117713216158,49.49002182639044,0.005311875374709009,,,,9.265667054307698,,,,-2.417191726319357,,,,1.690578
2MASX J13415119+4939274,Bader,2024-03-06T20:51:00.245,205.46346291666663,49.657514722222224,205.46109508712578,49.64900539972572,0.008646301957290542,,,,25.3775316437698,,,,-3.511123444946123,,,,1.690578
Gaia DR3 1558384701027155840,Bader,2024-03-06T20:51:00.245,205.1221633333333,49.599985000000004,205.1329675755181,49.608428669064615,0.01096910723447204,,,,94.95708075882274,,,,-4.943818386869749,,,,1.690578
LEDA 2343422,Bader,2024-03-06T20:51:00.245,205.13619249999996,49.45396111111111,205.1252024433128,49.44344787517172,0.012711350669431772,,,,315.50173267816047,,,,-6.2475043716326155,,,,1.690578
NVSS J134023+493053,Bader,2024-03-06T20:51:00.245,205.09838749999997,49.51490555555556,205.12634326125215,49.5174884631184,0.01833267057386035,,,,55.226240480363174,,,,-4.355363699214097,,,,1.690578
NVSS J134052+493231,Bader,2024-03-06T20:51:00.245,205.2195833333333,49.54222222222222,205.252501767372,49.535698634952325,0.02233569150825213,,,,16.145569674075603,,,,-3.0201334327577993,,,,1.690578
NVSS J134138+491855,Bader,2024-03-06T20:51:00.245,205.40599166666667,49.31940555555556,205.35657263236612,49.33741317278304,0.036899820542515435,,,,22.96376348841264,,,,-3.402607663181185,,,,1.690578
NVSS J134157+493907,Bader,2024-03-06T20:51:00.245,205.48958333333331,49.651666666666664,205.46370544256453,49.628703759916824,0.02842763899337485,,,,205.18637836214583,,,,-5.7803713150941425,,,,1.690578
SDSS J134038.43+492516.4,Bader,2024-03-06T20:51:00.245,205.16015416666664,49.42124166666667,205.1728237357989,49.40656766595309,0.01683057640679734,,,,66.69836548710518,,,,-4.560287978021182,,,,1.690578
SDSS J134041.67+491923.3,Bader,2024-03-06T20:51:00.245,205.17365249999995,49.323147222222225,205.15034761695406,49.35456976684792,0.03489933039539387,,,,32.10328186806183,,,,-3.766373579792099,,,,1.690578
SDSS J134056.73+492919.2,Bader,2024-03-06T20:51:00.245,205.23641666666663,49.488689722222226,205.22566845851296,49.48935052815853,0.007013170060988091,,,,38.83904765214302,,,,-3.9731714307617834,,,,1.690578
SDSS J134057.37+492154.7,Bader,2024-03-06T20:51:00.245,205.23904999999996,49.36520277777778,205.2240220841789,49.343437344288326,0.02386537542337192,,,,34.18656136553324,,,,-3.8346385493681288,,,,1.690578
SDSS J134058.16+492418.5,Bader,2024-03-06T20:51:00.245,205.24235541666664,49.40516944444445,205.20676991918577,49.424768986163485,0.030333377377480816,,,,281.7186135827793,,,,-6.124538856097996,,,,1.690578
SDSS J134100.38+492352.7,Bader,2024-03-06T20:51:00.245,205.25157791666663,49.397981944444446,205.2402381644204,49.384685663327005,0.015207533627162038,,,,39.80237606561232,,,,-3.999772496853984,,,,1.690578
SDSS J134111.37+492627.6,Bader,2024-03-06T20:51:00.245,205.2973808333333,49.44103388888889,205.29770589247286,49.435515063835254,0.005522871485257597,,,,77.12652567784954,,,,-4.718009420299117,,,,1.690578
SDSS J134128.52+492438.1,Bader,2024-03-06T20:51:00.245,205.36885916666665,49.410598888888885,205.37856757025253,49.40467044028642,0.008663194958080466,,,,44.418134875880355,,,,-4.118900796262831,,,,1.690578
SDSS J134132.29+492928.0,Bader,2024-03-06T20:51:00.245,205.38456249999996,49.49111388888889,205.37621787920455,49.48337265868725,0.009450493598885706,,,,10.003168892197522,,,,-2.500344003596145,,,,1.690578
SDSS J134137.20+492326.9,Bader,2024-03-06T20:51:00.245,205.40499999999997,49.39082222222222,205.36713800685348,49.36349108999787,0.03680578609738149,,,,2.322801866044756,,,,-0.9150304156399727,,,,1.690578
SDSS J134144.69+492839.6,Bader,2024-03-06T20:51:00.245,205.43624166666666,49.47768333333334,205.42340656220352,49.50446608796554,0.028050414255650823,,,,21.124871207298895,,,,-3.311985174630667,,,,1.690578
SDSS J134158.86+492502.5,Bader,2024-03-06T20:51:00.245,205.49524541666665,49.417382499999995,205.46494045719544,49.41450951141899,0.019923513484698757,,,,10.226276809714733,,,,-2.5242938605970138,,,,1.690578
SDSS J134207.45+493136.6,Bader,2024-03-06T20:51:00.245,205.53107749999998,49.526853333333335,205.49207544987866,49.54770558448344,0.032793870012361157,,,,87.1847986936085,,,,-4.851101922796157,,,,1.690578
SDSSCGB 9701.2,Bader,2024-03-06T20:51:00.245,205.4088333333333,49.551941666666664,205.3787511465162,49.53980124086851,0.022986119186945635,,,,20.7397031968124,,,,-3.2920063424145085,,,,1.690578
SDSSCGB 9701.3,Bader,2024-03-06T20:51:00.245,205.41189999999997,49.55394166666667,205.4082229625992,49.59398019199546,0.0401094631265498,,,,20.849568031389623,,,,-3.297742653846716,,,,1.690578
SDSSCGB 9701.4,Bader,2024-03-06T20:51:00.245,205.4149833333333,49.55384166666666,205.4493636503583,49.534602161681505,0.029458571143799957,,,,14.645586062601609,,,,-2.914266888091382,,,,1.690578
[SPD2011] 26347,Bader,2024-03-06T20:51:00.245,205.45833333333331,49.361666666666665,205.44766048595076,49.35936701969649,0.007321714906992177,,,,29.206185947770393,,,,-3.663687114790188,,,,1.690578
2MASS J13412857+4939085,Bader,2024-03-06T20:50:10.490,205.36893916666665,49.65231083333333,205.38004498572948,49.63981437127033,0.014417818548880952,,,,,,,85.86675653869344,,,,-4.834562646301439,1.694747
2MASX J13402864+4934299,Bader,2024-03-06T20:50:10.490,205.1192933333333,49.57488444444445,205.12951965711426,49.56665676938837,0.01056769371267947,,,,,,,12.664789342677153,,,,-2.756494926083541,1.694747
2MASX J13405250+4935405,Bader,2024-03-06T20:50:10.490,205.21874291666663,49.59460694444444,205.24754169273015,49.5912987982975,0.01895861243806203,,,,,,,397.15848363081557,,,,-6.497409609676691,1.694747
2MASX J13410083+4929175,Bader,2024-03-06T20:50:10.490,205.25350041666664,49.488191944444445,205.27065909681465,49.47818147862647,0.01498252888006677,,,,,,,37.80703068827799,,,,-3.9439314245399975,1.694747
2MASX J13415119+4939274,Bader,2024-03-06T20:50:10.490,205.46346291666663,49.657514722222224,205.45818255815803,49.64892140143273,0.00924833908004144,,,,,,,18.1386536113138,,,,-3.1465126182107013,1.694747
Gaia DR3 1558384701027155840,Bader,2024-03-06T20:50:10.490,205.1221633333333,49.599985000000004,205.12994059830666,49.60840960785405,0.009817193780133475,,,,,,,117.4570425209968,,,,-5.174697653599595,1.694747
LEDA 2343422,Bader,2024-03-06T20:50:10.490,205.13619249999996,49.45396111111111,205.12213248496118,49.44338343115723,0.01398005591073235,,,,,,,297.125513126466,,,,-6.182349861874671,1.694747
NVSS J134023+493053,Bader,2024-03-06T20:50:10.490,205.09838749999997,49.51490555555556,205.12325081081346,49.517395228037934,0.016332967285751676,,,,,,,70.26489312557177,,,,-4.616845975063327,1.694747
NVSS J134052+493231,Bader,2024-03-06T20:50:10.490,205.2195833333333,49.54222222222222,205.22859016574552,49.55702677564278,0.01591608338004046,,,,,,,11.191223180223346,,,,-2.622193891787721,1.694747
NVSS J134138+491855,Bader,2024-03-06T20:50:10.490,205.40599166666667,49.31940555555556,205.35357167058513,49.3374076331375,0.03861612312533914,,,,,,,32.34827120910683,,,,-3.774627688987257,1.694747
NVSS J134157+493907,Bader,2024-03-06T20:50:10.490,205.48958333333331,49.651666666666664,205.4803448132191,49.6110379627942,0.04106698976887491,,,,,,,241.91663447658686,,,,-5.959164329989144,1.694747
SDSS J134038.43+492516.4,Bader,2024-03-06T20:50:10.490,205.16015416666664,49.42124166666667,205.16968495253832,49.40652912166325,0.015965802948530027,,,,,,,59.59122612341929,,,,-4.437955803432619,1.694747
SDSS J134041.67+491923.3,Bader,2024-03-06T20:50:10.490,205.17365249999995,49.323147222222225,205.1472400113453,49.35458425120071,0.035839493409011665,,,,,,,40.9383776633793,,,,-4.030326570303111,1.694747
